City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
345,xuddur,100,SO,1566947758,74,4.12,43.89,71.8,21.45
346,shahjahanpur,91,IN,1566947758,79,27.88,79.91,82.6,5.55
347,port hawkesbury,90,CA,1566947758,87,45.62,-61.36,63.0,21.92
348,terrace,75,CA,1566947758,55,54.52,-128.61,66.2,9.17
349,saint-augustin,75,CA,1566947759,50,45.63,-73.98,75.99,5.82
350,samarai,76,PG,1566947759,92,-10.62,150.67,75.94,6.02
351,ballina,100,IE,1566947759,95,54.11,-9.15,57.99,1.01
352,maniitsoq,15,GL,1566947759,74,65.42,-52.9,44.8,15.32
353,tottori,75,JP,1566947760,100,35.5,134.23,75.2,1.12
354,piqua,90,US,1566947760,83,40.14,-84.24,78.01,9.17
355,ylivieska,85,FI,1566947760,88,64.07,24.53,62.01,6.38
356,poso,99,ID,1566947760,85,-1.4,120.75,64.78,3.04
357,karratha,4,AU,1566947761,77,-20.74,116.85,66.4,2.62
358,souillac,0,FR,1566947761,88,45.6,-0.6,68.0,2.24
359,yar-sale,100,RU,1566947761,68,66.83,70.83,42.28,24.29
360,ahipara,100,NZ,1566947762,95,-35.17,173.16,61.0,6.06
361,nicoya,40,CR,1566947762,51,10.15,-85.45,86.0,10.29
362,maragogi,4,BR,1566947762,96,-9.01,-35.22,68.02,4.56
363,freeport,40,BS,1566947762,79,26.54,-78.7,86.0,3.36
364,nuuk,9,GL,1566947747,87,64.17,-51.74,48.0,4.7
365,san patricio,0,PY,1566947762,78,-26.98,-56.83,67.48,5.39
366,san quintin,100,PH,1566947763,86,17.54,120.52,79.54,3.89
367,chuy,38,UY,1566947764,93,-33.69,-53.46,55.06,7.47
368,talnakh,0,RU,1566947764,87,69.49,88.39,46.4,11.18
369,kothen,23,DE,1566947764,80,50.37,9.77,73.0,2.75
370,lodja,0,CD,1566947765,62,-3.52,23.6,72.52,0.29
371,vardo,90,US,1566947765,64,39.62,-77.74,75.99,4.7
372,quepos,75,CR,1566947765,57,9.43,-84.16,78.8,10.29
373,milkovo,0,BG,1566947765,53,41.53,24.68,80.01,6.93
374,mariinskiy posad,75,RU,1566947765,93,56.12,47.72,51.8,15.66
375,bautar,16,RO,1566947766,52,45.52,22.57,65.68,4.72
376,marystown,98,CA,1566947766,85,47.17,-55.16,61.0,13.18
377,damietta,0,EG,1566947766,83,31.42,31.81,80.6,2.24
378,dingle,100,PH,1566947766,94,11.0,122.67,75.58,10.4
379,belaya gora,89,RU,1566947767,63,68.54,146.19,46.78,10.11
380,iskateley,29,RU,1566947767,93,67.68,53.15,35.8,8.39
381,jizan,40,SA,1566947767,70,16.89,42.56,84.2,4.7
382,korgen,0,NO,1566947768,93,66.08,13.83,57.99,2.24
383,ibotirama,76,BR,1566947768,47,-12.18,-43.22,73.6,3.04
384,vila velha,0,BR,1566947602,74,-3.71,-38.6,80.6,9.17
385,vetluzhskiy,77,RU,1566947768,79,58.39,45.47,45.88,12.39
386,neiafu,75,TO,1566947768,88,-18.65,-173.98,77.0,5.82
387,ruidoso,1,US,1566947769,64,33.33,-105.67,96.8,10.29
388,tautira,75,PF,1566947769,69,-17.73,-149.15,82.4,6.93
389,ukiah,1,US,1566947628,16,39.15,-123.21,102.2,10.29
390,bethel,90,US,1566947769,71,60.79,-161.76,55.4,12.75
391,kruisfontein,0,ZA,1566947770,85,-34.0,24.73,46.6,9.69
392,kurumkan,1,RU,1566947770,82,54.33,110.32,53.44,1.81
393,monte alegre,46,BR,1566947770,55,-2.0,-54.07,82.24,4.41
394,belyy yar,90,RU,1566947770,93,53.6,91.39,57.2,2.24
395,nizhniy kuranakh,31,RU,1566947771,69,58.84,125.49,58.48,3.4
396,marsa matruh,0,EG,1566947771,88,31.35,27.25,78.8,4.97
397,roald,0,NO,1566947771,93,62.58,6.12,61.0,4.7
398,santa maria,0,BR,1566947678,38,-16.02,-48.01,75.2,9.17
399,ocampo,0,MX,1566947772,36,27.32,-102.4,85.12,20.96
400,port hardy,40,CA,1566947612,82,50.7,-127.42,66.2,8.05
401,ampanihy,0,MG,1566947772,83,-24.69,44.75,61.18,1.54
402,kupang,20,ID,1566947772,82,-10.16,123.6,68.0,4.7
403,parczew,0,PL,1566947773,77,51.64,22.9,64.4,4.7
404,khurai,100,IN,1566947773,95,24.04,78.33,75.04,5.99
405,meulaboh,100,ID,1566947773,81,4.14,96.13,80.62,5.75
406,salym,96,RU,1566947774,93,60.06,71.48,43.0,10.4
407,at-bashi,26,KG,1566947774,56,41.17,75.81,49.12,3.4
408,ulaanbaatar,0,MN,1566947774,93,47.92,106.92,39.2,4.47
409,bodden town,20,KY,1566947775,70,19.28,-81.25,89.6,12.75
410,impfondo,100,CD,1566947775,74,1.62,18.06,73.96,0.81
411,coihaique,90,CL,1566947775,99,-45.58,-72.07,33.8,18.34
